Electricity Generation*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,26.794,28.044,29.749000000000002,29.233,29.596,28.436,29.963,31.685000000000002,32.915,33.515,34.018,35.09,35.397,37.19,37.832,35.191,36.415,36.157000000000004,34.145,33.708,35.756,35.859,39.96,40.025,35.908,37.371,36.019,34.635,30.294,29.403000000000002,30.36,31.902,32.915,32.067,34.291000000000004,34.93,36.1203,35.80176,35.545822,37.987362000000005,39.339696999999994,0.03843686202218555,0.02624941919135182,0.0012216573650146154
Iceland,3.8374099999999998,4.057842,4.152033,4.415945,4.475226,4.447226,4.425218,4.53892,4.721272,4.772761000000001,4.975857,5.111637,5.5795259999999995,6.274405,7.183988,7.677885000000001,8.027066,8.409572,8.49341934,8.620090124,8.681113926999998,9.924843022000001,11.975738967000002,16.467751844000002,16.835361662,17.059093363000002,17.210413408,17.548908358000002,18.116099021000004,18.122205182000002,18.798570390000002,18.548768464000005,19.238533145,19.828868,19.48883512,19.12730167900001,19.614,20.120517,20.243650000000002,19.605866000000002,18.804543000000002,-0.03824384518947499,3.176707659258149e-05,0.0005839574324043228
Ireland,12.088000000000001,12.652000000000001,13.064,13.228,13.833,14.500609640000002,15.135723940000002,15.99887928,16.38194822,17.088075299999996,17.84221102,19.1584479,19.95659154,21.154807180000002,22.0139618,23.98231604,24.96049208,25.199535100000002,25.239542299999997,25.59760674,25.983228139359994,27.504400279358762,28.73939,30.287014,28.371284,28.399979,27.236742,27.421424,25.995733,26.170667,28.497776,30.613039,30.997238000000003,31.278041,31.121551,32.459798,32.028121,34.045218,31.852979,31.492653999999998,32.030222918780105,0.01985615293566645,0.011753928269015335,0.0009946685082955179
Italy,185.74,192.33,201.372,203.561,210.75,216.6,221.816,226.254,222.802,231.81300000000002,241.489,244.433,251.473,259.8,265.66700000000003,276.641635,279.00865600000003,285.276011,293.884765,303.347006,303.6999,314.121963,313.887349,319.130538,292.639678,302.0622,302.5699,299.27590000000004,289.8032,279.8285,282.994,289.76820000000004,295.83,289.70840000000004,293.8532,280.531,289.0695,283.95300000000003,264.7081,270.9631,276.46902056934243,0.023115213624162356,-0.00232997365373222,0.008585485932362785
Latvia,4.961,5.184,5.937,5.11,5.801,6.648000000000001,5.644,3.834,3.924,4.44,3.979,3.126,4.506,5.797,4.11,4.136,4.28,3.975,3.975,4.689,4.906,4.891,4.771,5.274,5.569,6.627,6.094,6.167,6.2090000000000005,5.141,5.533,6.425,7.531189,6.724875,6.438385,5.724845999999999,5.846221,5.030972,6.387576,6.32162,6.28298053476529,-0.0033892926075884677,0.012792564793350225,0.00019511206312899373
Lithuania,20.962,22.416,22.755,26,29.158,28.405,29.363,18.707,14.105,9.998,13.84,16.789,14.861,17.63,13.535,11.425,14.737,17.721,19.488,19.274,14.7843,12.4819,14.007,14.01,15.357600000000001,5.748600000000001,4.8216,5.0424,4.7615,4.3969,4.9329,4.2657,4.1872,3.5111,3.9716,5.5175,5.078600000000001,4.7828,5.9786,8.091899999999999,10.011911454808175,0.24066552344998193,0.07335026748295004,0.000310910512773919
Luxembourg,0.9390450000000001,1.020386,1.036332,1.333588,1.3803150000000002,1.377,1.415,1.198,1.067,1.147,1.23,1.256,1.26,1.295517,1.022008,1.166291,1.621117,3.698743,3.621422,4.132149999999999,4.129123,4.333512,4.001358000000001,3.557091,3.878379,4.591276,3.7162930000000003,3.816973,2.8891280000000004,2.9649810000000003,2.76608,2.19758,2.235141,2.199688,1.908422,2.234264,2.210988,2.268848,2.54542,2.74234,2.0604408616284577,-0.2465974660016722,-0.029021660646218805,6.398505697147251e-05
Netherlands,62.975,67.17,68.44800000000001,69.654,73.081,71.892,74.282,77.231,76.992,79.677,81.063,85.23400000000001,86.659,92.00627300000001,87.617304,90.18057700000001,94.07242600000001,95.08289200000002,98.140305,102.144798,100.76871000000001,98.834621,105.164161,108.20277800000001,113.502778,118.13888899999999,112.965935,102.505526,100.875336,103.417851,110.213427,115.158408,117.167739,114.37971300000001,121.411247,123.27813,122.170454,121.57489,121.640674,123.843943,135.052,0.09348912994034797,0.020532056998449733,0.004193913096482514
North Macedonia,0,0,0,0,0,5.758,5.7700000000000005,6.065,5.18,5.939,6.132000000000001,6.641,6.7330000000000005,7.048,6.863,6.811,6.362,6.091,6.738,6.667,6.942,7.006,6.498,6.311,6.828,7.26,6.759,6.2620000000000005,6.0940710000000005,5.373693,5.6461440000000005,5.629506,5.6002160000000005,5.60717,5.869769775000001,5.347098196999999,5.531507894000001,5.942457999999999,6.890183,6.304517,7.252966820560964,0.1535916173332712,0.02536000647072645,0.00022523407677860208
Norway,103.292,97.284,104.283,110.019,119.197,121.848,111.009,117.506,120.095,113.21300000000001,123.011,104.712,111.42,117.002,122.834,143.173,121.98400000000001,130.748,107.32900000000001,110.647,138.005,121.538,137.16400000000002,142.108,131.773,123.663,127.652,147.828,134.074,141.97,144.547,149.086,149.616,147.082,134.89000000000001,155.196,157.92118900000003,146.730944,154.89506899999998,158.54234,163.02014347947562,0.03106068706666254,0.012099519909495093,0.005062437540569791
Poland,137.714,140.294,145.833,144.34,145.464,136.311,134.714,132.75,133.867,135.347,139.006,143.173,142.79,142.78900000000002,142.12800000000001,145.184,145.616,144.126,151.631,154.159,156.936,161.742,159.348,155.3054,151.72,157.65800000000002,163.548,162.139,164.55700000000002,159.058,164.94400000000002,166.63400000000001,170.465,170.03900000000002,163.98850099999999,158.042741,179.631509,179.74812100000003,167.36201000000003,172.452808,179.18073022276403,0.041859732043118436,0.008313258828393177,0.005564289393111915
Portugal,18.900000000000002,20.355,20.135,22.489,25.808,28.5,29.871000000000002,30.087,31.205000000000002,31.381,33.264,34.52,34.207,38.984,43.287,43.764,46.509,46.107,46.852000000000004,45.105000000000004,46.575,49.041000000000004,47.253,45.969,50.207,54.093,52.465,46.613,51.671630797000006,52.80212783900001,52.420866448000005,60.278,59.433,59.640010000000004,53.155,53.079,50.981,48.808,49.043,51.09,55.15626534022874,0.08254802105999981,0.005099520314945094,0.0017128260489548464
